date,house-1-temperature-color,house-1-temperature-data,house-1-rehs-color,house-1-rehs-data,motality
3/21/2021,blue,,blue,,
3/22/2021,blue,,blue,,
3/23/2021,blue,,red,,
3/24/2021,blue,,blue,,
3/25/2021,blue,,blue,,
3/26/2021,blue,,blue,,
3/27/2021,blue,,blue,,
3/28/2021,blue,,blue,,
3/29/2021,blue,,blue,,
3/30/2021,blue,,blue,,
3/31/2021,blue,,blue,,
4/1/2021,blue,,blue,,
4/2/2021,blue,,blue,,
4/3/2021,blue,,blue,,
4/4/2021,blue,,blue,,
4/5/2021,blue,,blue,,
4/6/2021,blue,,blue,,
4/7/2021,blue,,blue,,
4/8/2021,blue,,blue,,
4/9/2021,blue,,blue,,
4/10/2021,blue,,blue,,
4/11/2021,blue,,blue,,
4/12/2021,blue,,blue,,
4/13/2021,blue,,blue,,
4/14/2021,blue,,blue,,
4/15/2021,blue,,blue,,
4/16/2021,blue,,blue,,
4/17/2021,blue,,blue,,
4/18/2021,blue,,blue,,
4/19/2021,blue,,blue,,
4/20/2021,blue,,blue,,
4/21/2021,blue,,blue,,
4/22/2021,blue,,blue,,
4/23/2021,blue,,blue,,
4/24/2021,blue,,blue,,
4/25/2021,blue,,blue,,
4/26/2021,blue,,blue,,
4/27/2021,blue,,blue,,
4/28/2021,blue,,blue,,
4/29/2021,blue,,blue,,
4/30/2021,blue,,blue,,
5/1/2021,blue,,blue,,
5/2/2021,blue,,blue,,
5/3/2021,blue,,blue,,
5/4/2021,yellow,16.38,blue,,
5/5/2021,green,20.17,red,,
5/6/2021,green,24.06,red,31,
5/7/2021,green,24.59,red,28,
5/8/2021,yellow,25.88,red,34,
5/9/2021,yellow,26.15,red,25,
5/10/2021,yellow,25.83,red,35,
5/11/2021,green,24.12,red,28,
5/12/2021,green,24.76,red,30,
5/13/2021,green,24.36,red,22,
5/14/2021,green,24,red,25,
5/15/2021,green,23.77,red,33,
5/16/2021,green,23.24,red,30,
5/17/2021,yellow,24.04,red,31,
5/18/2021,green,24.17,red,36,
5/19/2021,green,23.38,yellow,34,
5/20/2021,green,23.88,yellow,45,
5/21/2021,green,24.79,yellow,49,
5/22/2021,green,26.5,red,47,
5/23/2021,green,23.39,red,34,
5/24/2021,yellow,24.1,red,34,
5/25/2021,green,24.34,red,29,
5/26/2021,green,23.96,red,27,
5/27/2021,yellow,24.57,red,30,
5/28/2021,red,23.97,red,29,
5/29/2021,yellow,24.94,red,26,
5/30/2021,blue,25.05,red,24,
5/31/2021,green,25.84,red,33,
6/1/2021,yellow,25.51,red,21,
6/2/2021,green,25.61,red,21,
6/3/2021,yellow,23.33,red,19,
6/4/2021,yellow,23.11,red,18,
6/5/2021,yellow,24.53,red,14,
6/6/2021,yellow,24.99,red,17,
6/7/2021,red,24.87,red,21,
6/8/2021,red,24.83,red,20,
6/9/2021,green,25.41,red,14,
6/10/2021,green,25.51,red,16,
6/11/2021,green,25.67,red,18,
6/12/2021,green,26.25,red,16,
6/13/2021,green,26.19,red,16,
6/14/2021,green,27,blue,24,
6/15/2021,green,26.32,blue,28,
6/16/2021,green,25.39,blue,22,
6/17/2021,green,24.27,blue,17,
6/18/2021,yellow,23.89,blue,18,
6/19/2021,yellow,24.08,blue,20,
6/20/2021,yellow,24.95,blue,24,
6/21/2021,green,24.87,blue,17,
6/22/2021,blue,25.2,blue,21,
6/23/2021,blue,24.02,blue,16,
6/24/2021,blue,24.79,blue,14,
6/25/2021,green,25.29,blue,10,
6/26/2021,green,26.19,blue,13,
6/27/2021,green,27.15,blue,19,
6/28/2021,green,26.45,blue,19,
6/29/2021,green,26.48,blue,13,
6/30/2021,blue,26.32,blue,16,
7/1/2021,green,25.54,blue,9,
7/2/2021,green,26.09,blue,7,
7/3/2021,green,25.41,blue,2,
7/4/2021,green,26.14,blue,8,
7/5/2021,green,25.79,blue,5,
7/6/2021,green,26.48,blue,4,
7/7/2021,green,26.6,red,,
7/8/2021,green,27.38,red,9,
7/9/2021,green,28.05,red,6,
7/10/2021,green,28.61,red,5,
7/11/2021,green,28.31,red,3,
7/12/2021,green,27.88,red,2,
7/13/2021,green,22.68,red,4,
7/14/2021,green,25.57,red,3,
7/15/2021,green,25.95,red,6,
7/16/2021,blue,26.45,red,3,
7/17/2021,green,25.62,red,6,
7/18/2021,green,25.77,red,5,
7/19/2021,green,26.57,red,4,
7/20/2021,green,27.2,red,6,
7/21/2021,green,26.98,red,6,
7/22/2021,green,26.13,red,6,
7/23/2021,green,26.72,red,5,
7/24/2021,green,26.69,red,6,
7/25/2021,green,26.67,red,4,
7/26/2021,green,26.85,red,5,
7/27/2021,green,26.37,blue,6,
7/28/2021,green,24.7,blue,,
7/29/2021,green,24.5,red,,
7/30/2021,green,26.02,red,3,
7/31/2021,green,28.44,red,2,
8/1/2021,green,27.44,red,4,
8/2/2021,green,25.97,red,4,
8/3/2021,green,26.07,red,6,
8/4/2021,green,26.85,red,7,
8/5/2021,green,26.85,red,12,
8/6/2021,green,26.98,red,5,
8/7/2021,green,26.99,red,9,
8/8/2021,green,26.16,red,7,
8/9/2021,green,26.81,red,8,
8/10/2021,green,25.76,red,7,
8/11/2021,green,26.21,red,6,
8/12/2021,green,26.23,red,6,
8/13/2021,green,24.69,red,14,
8/14/2021,green,24.46,red,14,
8/15/2021,green,24.53,red,16,
8/16/2021,green,25.49,red,7,
8/17/2021,green,25.72,red,9,
8/18/2021,green,25.8,red,8,
8/19/2021,green,25.8,red,10,
8/20/2021,green,25.17,red,8,
8/21/2021,green,25.23,red,14,
8/22/2021,green,25.64,red,10,
8/23/2021,green,24.28,red,20,
8/24/2021,green,25.08,red,15,
8/25/2021,green,24.74,red,12,
8/26/2021,green,24.01,red,18,
8/27/2021,green,22.47,red,17,
8/28/2021,green,23,red,16,
8/29/2021,green,23.79,red,20,
8/30/2021,green,24.62,red,21,
8/31/2021,green,25.22,red,21,
9/1/2021,green,22.75,red,31,
9/2/2021,green,23.57,red,26,
9/3/2021,green,23.85,red,24,
9/4/2021,yellow,23.7,red,31,
9/5/2021,green,22.69,red,33,
9/6/2021,green,23.37,red,28,
9/7/2021,yellow,23.21,red,29,
9/8/2021,green,22.91,red,34,
9/9/2021,green,23.65,red,33,
9/10/2021,green,24.6,red,33,
9/11/2021,green,24.63,yellow,29,
9/12/2021,green,24.48,yellow,44,
9/13/2021,green,23.84,yellow,44,
9/14/2021,green,23.79,yellow,53,
9/15/2021,green,23.84,red,46,
9/16/2021,green,23.94,red,35,
9/17/2021,green,23.9,yellow,36,
9/18/2021,green,24.07,yellow,50,
9/19/2021,green,23.72,yellow,52,
9/20/2021,green,22.89,yellow,54,
9/21/2021,green,25.44,yellow,51,
9/22/2021,green,24.41,yellow,48,
9/23/2021,yellow,24.44,yellow,47,
9/24/2021,green,24.55,blue,,
9/25/2021,green,23.46,red,34,
9/26/2021,green,22.75,red,32,
9/27/2021,green,22.58,yellow,49,
9/28/2021,green,21.7,yellow,56,
9/29/2021,yellow,23.1,green,69,
9/30/2021,yellow,24.5,green,70,
10/1/2021,green,24.4,green,64,
10/2/2021,green,24.39,yellow,54,
10/3/2021,green,25.75,yellow,56,
10/4/2021,green,23.44,yellow,56,
10/5/2021,green,20.31,yellow,51,
10/6/2021,green,19.57,yellow,56,
10/7/2021,green,19.14,green,73,
10/8/2021,green,19.54,green,73,
10/9/2021,green,20.7,green,73,
10/10/2021,green,19.89,green,78,
10/11/2021,green,19.65,green,78,
10/12/2021,green,20.47,green,75,
10/13/2021,green,21.42,green,65,
10/14/2021,green,21.63,green,68,
10/15/2021,green,20.15,green,75,
10/16/2021,green,19.48,green,77,
10/17/2021,green,19.45,green,82,
10/18/2021,green,19.79,green,79,
10/19/2021,green,19.52,green,72,
10/20/2021,green,19.01,green,79,
10/21/2021,green,18.94,green,79,
10/22/2021,green,19.26,green,76,
10/23/2021,green,19.39,green,76,
10/24/2021,green,19.39,green,77,
10/25/2021,green,19.78,green,79,
10/26/2021,green,19.97,green,82,
10/27/2021,green,19.63,green,79,
10/28/2021,green,20.17,green,79,
10/29/2021,green,19.33,green,81,
10/30/2021,green,18.43,green,91,
10/31/2021,blue,16.28,blue,96,
11/1/2021,blue,,blue,,
11/2/2021,blue,,blue,,
11/3/2021,blue,,blue,,
11/4/2021,blue,,blue,,
11/5/2021,blue,,blue,,
11/6/2021,blue,,blue,,
11/7/2021,blue,,blue,,
11/8/2021,blue,,blue,,
11/9/2021,blue,,blue,,
11/10/2021,blue,,blue,,
11/11/2021,blue,,blue,,
11/12/2021,blue,,blue,,
11/13/2021,blue,,blue,,
11/14/2021,blue,,blue,,
11/15/2021,blue,,blue,,
11/16/2021,blue,,blue,,
11/17/2021,blue,,blue,,
11/18/2021,blue,,blue,,
11/19/2021,blue,,blue,,
11/20/2021,blue,,blue,,
11/21/2021,blue,,blue,,
11/22/2021,blue,,blue,,
11/23/2021,blue,,blue,,
11/24/2021,blue,,blue,,
11/25/2021,blue,,blue,,
11/26/2021,blue,,blue,,
11/27/2021,green,12.09,blue,,
11/28/2021,green,12.5,green,97,
11/29/2021,green,12.58,green,96,
11/30/2021,green,11.48,blue,97,
12/1/2021,green,10.15,green,97,
12/2/2021,green,10.12,green,96,
12/3/2021,green,10.62,green,97,
12/4/2021,green,10.57,green,96,
12/5/2021,green,10.25,green,97,
12/6/2021,green,10.13,green,96,
12/7/2021,green,9.95,green,96,
12/8/2021,green,11.78,green,96,
12/9/2021,blue,17.87,blue,80,
12/10/2021,blue,22.77,blue,17,
12/11/2021,green,22,red,6,
12/12/2021,yellow,21.68,red,7,
12/13/2021,green,21.5,red,10,
12/14/2021,green,21.74,red,8,
12/15/2021,green,21.71,red,5,
12/16/2021,green,21.52,red,5,
12/17/2021,yellow,19.79,red,5,1
12/18/2021,green,19.31,red,5,2
12/19/2021,green,20.28,red,4,
12/20/2021,green,20.84,red,7,2
12/21/2021,green,20.36,red,6,2
12/22/2021,green,20.39,red,9,
12/23/2021,green,20.1,red,7,1
12/24/2021,green,19.11,red,6,2
12/25/2021,green,18.21,red,10,2
12/26/2021,yellow,18.06,red,10,3
12/27/2021,green,17.48,red,15,7
12/28/2021,green,18.35,red,18,
12/29/2021,green,18.88,red,13,
12/30/2021,green,19.32,red,11,23
12/31/2021,green,19.49,red,7,1
1/1/2022,green,20.28,red,3,3
1/2/2022,green,18.55,red,2,2
1/3/2022,green,18.31,red,2,3
1/4/2022,green,18.95,red,1,3
1/5/2022,green,17.82,red,0,1
1/6/2022,green,17.95,red,1,
1/7/2022,green,17,red,1,2
1/8/2022,green,15.46,red,1,4
1/9/2022,green,15.22,blue,,2
1/10/2022,green,16.31,red,2,8
