,date,monitor-1-temp-color,monitor-1-temp-data,monitor-1-rehs-color,monitor-1-rehs-data,monitor-2-temp-color,monitor-2-temp-data,monitor-2-rehs-color,monitor-2-rehs-data,monitor-3-temp-color,monitor-3-temp-data,monitor-3-rehs-color,monitor-3-rehs-data,monitor-4-temp-color,monitor-4-temp-data,monitor-4-rehs-color,monitor-4-rehs-data,monitor-5-temp-color,monitor-5-temp-data,monitor-5-rehs-color,monitor-5-rehs-data
275,10/3/2021,green,26.5,green,96,green,26,green,86,green,25,yellow,56,green,25,green,83,,,,
276,10/4/2021,green,25,green,94,green,24,green,80,green,22.5,yellow,56,green,22,green,79,,,,
277,10/5/2021,green,22.5,green,78,green,22,green,70,green,20,yellow,51,green,16.5,green,68,,,,
278,10/6/2021,green,21.5,green,84,green,21.5,green,77,green,19.5,yellow,56,green,16,green,69,,,,
279,10/7/2021,green,21,green,81,green,21,green,75,green,19.5,green,73,green,15.5,green,78,,,,
280,10/8/2021,green,21,green,84,green,21,green,82,green,20,green,73,green,16.5,green,74,,,,
281,10/9/2021,green,21.5,green,92,green,21.5,green,77,green,21,green,77,green,19,green,73,,,,
282,10/10/2021,green,20.5,green,89,green,20.5,green,78,green,20,green,82,green,18,green,81,,,,
283,10/11/2021,green,20.5,green,87,green,20.5,green,79,green,19.5,green,80,green,18,green,78,,,,
284,10/12/2021,green,21,green,95,green,21.5,green,85,green,20,green,75,green,19,green,82,,,,
285,10/13/2021,green,22,green,91,green,22,green,81,green,21,green,65,green,20.5,green,74,,,,
286,10/14/2021,green,22.5,green,88,green,22.5,green,79,green,21,green,68,green,20.5,green,76,,,,
287,10/15/2021,green,21,green,87,green,21.5,green,89,green,19.5,green,75,green,18,green,82,,,,
288,10/16/2021,green,20,green,90,green,20.5,green,81,green,19.5,green,77,green,17.5,green,84,,,,
289,10/17/2021,green,19.5,green,89,green,19.5,green,87,green,19.5,green,82,green,19,green,84,,,,
290,10/18/2021,green,20,green,89,green,20,green,82,green,20,green,79,green,19,green,81,,,,
291,10/19/2021,green,20,green,90,green,20.5,green,80,green,19.5,green,72,green,18,green,82,,,,
292,10/20/2021,green,19.5,green,90,green,20,green,81,green,19,green,80,green,17.5,green,79,,,,
293,10/21/2021,green,19.5,green,87,green,20,green,79,green,19,green,87,green,18,green,82,,,,
294,10/22/2021,green,19.5,green,93,green,19.5,green,76,green,19.5,green,87,green,18.5,green,77,,,,
295,10/23/2021,green,20,green,88,green,20,green,76,green,19,green,88,green,18.5,green,79,,,,
296,10/24/2021,green,20,green,90,green,20,green,84,green,19,green,87,green,18.5,green,77,,,,
297,10/25/2021,green,20,green,91,green,20.5,green,79,green,19.5,green,90,green,19,green,81,,,,
298,10/26/2021,green,20,green,93,green,20.5,green,82,green,20,green,88,green,19,green,85,,,,
299,10/27/2021,green,20,green,93,green,20,green,79,green,19,green,87,green,19,green,90,,,,
300,10/28/2021,green,20.5,green,92,green,20.5,green,79,green,20,green,88,green,19.5,green,91,,,,
301,10/29/2021,green,20,green,93,green,19.5,green,81,green,19,green,92,green,19,green,91,,,,
302,10/30/2021,green,19,green,99,green,18.5,green,91,green,18,green,96,green,18.5,green,96,,,,
303,10/31/2021,blue,16.5,blue,97,blue,16.5,blue,96,blue,16,blue,96,blue,15.5,blue,98,,,,
304,11/1/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
305,11/2/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
306,11/3/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
307,11/4/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
308,11/5/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
309,11/6/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
310,11/7/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
311,11/8/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
312,11/9/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
313,11/10/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
314,11/11/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
315,11/12/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
316,11/13/2021,blue,,blue,,blue,,blue,,blue,,blue,,blue,,blue,,,,,
